Category,Item Name,Description,Reorder Level,Reorder Quantity,Selling Price (NGN)
Laboratory Supplies,Urinalysis Strip 11,11-parameter urine dipstick test strip,,,400
Laboratory Supplies,Urinalysis Strip 2,2-parameter urine dipstick test strip,,,200
Laboratory Supplies,Eco Paper,Thermal paper roll for ECG/lab printers,,,10200
Laboratory Supplies,Blood Collection Set/Butterfly Needle,Winged blood collection set/butterfly needle,,,225
Surgical Supplies,Surgical Gloves 7.0,"Sterile latex surgical gloves, size 7.0",,,768
Surgical Supplies,Surgical Gloves 7.5,"Sterile latex surgical gloves, size 7.5",,,750
Surgical Supplies,Surgical Gloves 8.0,"Sterile latex surgical gloves, size 8.0",,,750
Surgical Supplies,Elbow Length Gloves,Long sterile gloves for obstetric procedures,,,600
Surgical Supplies,Surgical Gowns,Sterile surgical gown for theatre use,,,7500
Surgical Supplies,Surgical Blade,"Disposable surgical blade, sizes 22/15/11/12/24",,,200
Surgical Supplies,Bipolar Forceps,Electrosurgical bipolar forceps,,,60000
Surgical Supplies,Diathermy Plate,Patient return electrode/diathermy plate,,,19500
Surgical Supplies,Diathermy Pencil,Electrosurgical diathermy pencil/handpiece,,,18000
Surgical Supplies,Vaginal Speculum,Bivalve vaginal speculum for gynaecological exam,,,1200
Surgical Supplies,Nick Collar Rigid S,"Rigid cervical neck collar, size small",,,52500
Sutures,Nylon 0,"Non-absorbable nylon suture, size 0",,,1125
Sutures,Nylon 1,"Non-absorbable nylon suture, size 1",,,1125
Sutures,Nylon 2,"Non-absorbable nylon suture, size 2",,,1125
Sutures,Nylon 2.0,"Non-absorbable nylon suture, size 2.0",,,1125
Sutures,Vicryl 0 RB,"Absorbable vicryl suture, size 0, round body needle",,,2505
Sutures,Vicryl 1 RB,"Absorbable vicryl suture, size 1, round body needle",,,2505
Sutures,Vicryl 2 RB,"Absorbable vicryl suture, size 2, round body needle",,,2505
Sutures,Vicryl 2.0 RB,"Absorbable vicryl suture, size 2.0, round body needle",,,2505
Sutures,Vicryl 3 RB,"Absorbable vicryl suture, size 3, round body needle",,,2505
Sutures,Vicryl 0 CT,"Absorbable vicryl suture, size 0, cutting needle",,,2505
Sutures,Vicryl 1 CT,"Absorbable vicryl suture, size 1, cutting needle",,,2505
Sutures,Vicryl 2 CT,"Absorbable vicryl suture, size 2, cutting needle",,,2505
Sutures,Vicryl 2.0 CT,"Absorbable vicryl suture, size 2.0, cutting needle",,,2505
Sutures,Vicryl 3 CT,"Absorbable vicryl suture, size 3, cutting needle",,,2505
Catheters & Tubes,Foley Catheter 12,"Two-way foley urinary catheter, size 12Fr",,,1350
Catheters & Tubes,Foley Catheter 14,"Two-way foley urinary catheter, size 14Fr",,,1125
Catheters & Tubes,Foley Catheter 16,"Two-way foley urinary catheter, size 16Fr",,,1125
Catheters & Tubes,Foley Catheter 18,"Two-way foley urinary catheter, size 18Fr",,,1125
Catheters & Tubes,Foley Catheter 20,"Two-way foley urinary catheter, size 20Fr",,,1125
Catheters & Tubes,Feeding Tube 10,"Nasogastric feeding tube, size 10Fr",,,1950
Catheters & Tubes,Feeding Tube 12,"Nasogastric feeding tube, size 12Fr",,,1950
Catheters & Tubes,Urine Bag,Sterile closed urine drainage bag,,,1500
Antiseptics & Disinfectants,Povidone Iodine,Broad-spectrum antiseptic solution,,,20000
Antiseptics & Disinfectants,Betadine Solution,Povidone-iodine antiseptic/wound cleanser,,,12750
Antiseptics & Disinfectants,G.V Solution,Gentian violet antiseptic solution,,,1440
Antiseptics & Disinfectants,Methylated Spirit,70% denatured ethanol for skin antisepsis,,,5700
Antiseptics & Disinfectants,Hydrogen Peroxide,3% hydrogen peroxide wound cleanser,,,1500
Antiseptics & Disinfectants,Vinegar,Acetic acid solution for clinical use,,,7500
Antiseptics & Disinfectants,Purit,Surface disinfectant/hand sanitiser,,,4800
Diagnostic & Point-of-Care Tests,H. Pylori Test,Rapid H. pylori antigen detection test,,,570
Diagnostic & Point-of-Care Tests,Pregnancy Test Strip,Urine-based hCG rapid pregnancy test strip,,,270
Diagnostic & Point-of-Care Tests,HIV Kits,Rapid HIV 1 & 2 antibody test kit,,,1350
Diagnostic & Point-of-Care Tests,Thermometer Digital,Digital clinical thermometer,,,2250
Diagnostic & Point-of-Care Tests,Thermometer Manual,Mercury/glass clinical thermometer,,,2250
PPE & Infection Control,Face Mask,3-ply disposable surgical face mask,,,225
PPE & Infection Control,Disposable Apron,Single-use plastic protective apron,,,1050
PPE & Infection Control,Shoe Cover,Disposable non-woven shoe cover,,,525
PPE & Infection Control,Nurses Cap,Disposable bouffant cap for clinical use,,,1050
PPE & Infection Control,Examination Gloves,Non-sterile latex examination gloves (box),,,6600
PPE & Infection Control,Waste Bin Disposable,Single-use clinical waste bin liner/bag,,,750
Miscellaneous,KY Jelly,Water-based lubricating jelly for clinical use,,,2250
Miscellaneous,Honey,Medical-grade honey for wound care,,,5500
Miscellaneous,Swap Stick,Sterile cotton-tipped applicator/swap stick,,,1050
Miscellaneous,Ultrasound Gel,Conductive gel for ultrasound imaging,,,750
Miscellaneous,BP Cuff,Blood pressure cuff/sphygmomanometer cuff,,,7500
Miscellaneous,Tongue Depressor,Disposable wooden tongue depressor,,,120
Miscellaneous,Oxygen,Medical oxygen (per cylinder/unit),,,40000
